Name,IsControl,IsClosed,CommandName,Property 1,Property 2,Property 3
TagSpace,False,False,OpenTagSpace,-,-,-
TagSpace,False,True,CloseTagSpace,-,-,-
SetTag,False,True,SetTag,TagName,TagValue,-
SetTagMatch,False,True,SetTagMatch,TagName,Pattern,-
SetStart,False,True,SetStart,Pattern,IsInclusive,-
SetEnd,False,True,SetEnd,Pattern,IsInclusive,-
AddTrack,False,True,AddTrack,-,-,-
ForEachSplitBy,True,False,ForEachSplitBy,Pattern,-,-
ForEachSplitBy,True,True,-,-,-,-
TrackSpace,False,False,OpenTagSpace,-,-,-
TrackSpace,False,True,AddTrack,-,-,-
SetStartTime,False,True,SetStartTime,Pattern,TimePattern,-
